Crate Type,Wager Volume (SOL),Item,Amount,Probability
Daily Crate - Tier 4,1.0,Points,500,48.1800%
Daily Crate - Tier 4,1.0,Points,2000,30.0980%
Daily Crate - Tier 4,1.0,Points,5000,9.3750%
Daily Crate - Tier 4,1.0,Points,8000,4.6000%
Daily Crate - Tier 4,1.0,Points,10000,3.2120%
Daily Crate - Tier 4,1.0,Points,20000,2.5000%
Daily Crate - Tier 4,1.0,Points,40000,1.1500%
Daily Crate - Tier 4,1.0,Points,1000000,0.6250%
Daily Crate - Tier 4,1.0,SOL,0.25,0.1875%
Daily Crate - Tier 4,1.0,SOL,1,0.0575%
Daily Crate - Tier 4,1.0,SOL,5,0.0145%
Daily Crate - Tier 4,1.0,SOL,20,0.0005%
Daily Crate - Tier 5,2.5,Points,1250,48.1800%
Daily Crate - Tier 5,2.5,Points,5000,30.0980%
Daily Crate - Tier 5,2.5,Points,12500,9.3750%
Daily Crate - Tier 5,2.5,Points,20000,4.6000%
Daily Crate - Tier 5,2.5,Points,25000,3.2120%
Daily Crate - Tier 5,2.5,Points,50000,2.5000%
Daily Crate - Tier 5,2.5,Points,100000,1.1500%
Daily Crate - Tier 5,2.5,Points,250000,0.6250%
Daily Crate - Tier 5,2.5,SOL,0.625,0.1875%
Daily Crate - Tier 5,2.5,SOL,2.5,0.0575%
Daily Crate - Tier 5,2.5,SOL,12.5,0.0145%
Daily Crate - Tier 5,2.5,SOL,50,0.0005%
Daily Crate - Tier 6,5.0,Points,2500,48.1800%
Daily Crate - Tier 6,5.0,Points,10000,30.0980%
Daily Crate - Tier 6,5.0,Points,25000,9.3750%
Daily Crate - Tier 6,5.0,Points,40000,4.6000%
Daily Crate - Tier 6,5.0,Points,50000,3.2120%
Daily Crate - Tier 6,5.0,Points,100000,2.5000%
Daily Crate - Tier 6,5.0,Points,200000,1.1500%
Daily Crate - Tier 6,5.0,Points,500000,0.6250%
Daily Crate - Tier 6,5.0,SOL,1.25,0.1875%
Daily Crate - Tier 6,5.0,SOL,5,0.0575%
Daily Crate - Tier 6,5.0,SOL,25,0.0145%
Daily Crate - Tier 6,5.0,SOL,100,0.0005%
Daily Crate - Tier 7,10.0,Points,5000,48.1800%
Daily Crate - Tier 7,10.0,Points,20000,30.0980%
Daily Crate - Tier 7,10.0,Points,50000,9.3750%
Daily Crate - Tier 7,10.0,Points,80000,4.6000%
Daily Crate - Tier 7,10.0,Points,100000,3.2120%
Daily Crate - Tier 7,10.0,Points,200000,2.5000%
Daily Crate - Tier 7,10.0,Points,400000,1.1500%
Daily Crate - Tier 7,10.0,Points,1000000,0.6250%
Daily Crate - Tier 7,10.0,SOL,2.5,0.1875%
Daily Crate - Tier 7,10.0,SOL,10,0.0575%
Daily Crate - Tier 7,10.0,SOL,50,0.0145%
Daily Crate - Tier 7,10.0,SOL,200,0.0005%
Daily Crate - Tier 8,25.0,Points,12500,48.1800%
Daily Crate - Tier 8,25.0,Points,50000,30.0980%
Daily Crate - Tier 8,25.0,Points,125000,9.3750%
Daily Crate - Tier 8,25.0,Points,200000,4.6000%
Daily Crate - Tier 8,25.0,Points,250000,3.2120%
Daily Crate - Tier 8,25.0,Points,500000,2.5000%
Daily Crate - Tier 8,25.0,Points,1000000,1.1500%
Daily Crate - Tier 8,25.0,Points,2500000,0.6250%
Daily Crate - Tier 8,25.0,SOL,6.25,0.1875%
Daily Crate - Tier 8,25.0,SOL,25,0.0575%
Daily Crate - Tier 8,25.0,SOL,125,0.0145%
Daily Crate - Tier 8,25.0,SOL,500,0.0005%
Daily Crate - Tier 9,50.0,Points,25000,48.1800%
Daily Crate - Tier 9,50.0,Points,100000,30.0980%
Daily Crate - Tier 9,50.0,Points,250000,9.3750%
Daily Crate - Tier 9,50.0,Points,400000,4.6000%
Daily Crate - Tier 9,50.0,Points,500000,3.2120%
Daily Crate - Tier 9,50.0,Points,1000000,2.5000%
Daily Crate - Tier 9,50.0,Points,2000000,1.1500%
Daily Crate - Tier 9,50.0,Points,5000000,0.6250%
Daily Crate - Tier 9,50.0,SOL,12.5,0.1875%
Daily Crate - Tier 9,50.0,SOL,50,0.0575%
Daily Crate - Tier 9,50.0,SOL,250,0.0145%
Daily Crate - Tier 9,50.0,SOL,1000,0.0005%
Daily Crate - Tier 10,100.0,Points,50000,48.1800%
Daily Crate - Tier 10,100.0,Points,200000,30.0980%
Daily Crate - Tier 10,100.0,Points,500000,9.3750%
Daily Crate - Tier 10,100.0,Points,800000,4.6000%
Daily Crate - Tier 10,100.0,Points,1000000,3.2120%
Daily Crate - Tier 10,100.0,Points,2000000,2.5000%
Daily Crate - Tier 10,100.0,Points,4000000,1.1500%
Daily Crate - Tier 10,100.0,Points,10000000,0.6250%
Daily Crate - Tier 10,100.0,SOL,25,0.1875%
Daily Crate - Tier 10,100.0,SOL,100,0.0575%
Daily Crate - Tier 10,100.0,SOL,500,0.0145%
Daily Crate - Tier 10,100.0,SOL,2000,0.0005%
Daily Crate - Tier 11,250.0,Points,125000,48.1800%
Daily Crate - Tier 11,250.0,Points,500000,30.0980%
Daily Crate - Tier 11,250.0,Points,1250000,9.3750%
Daily Crate - Tier 11,250.0,Points,2000000,4.6000%
Daily Crate - Tier 11,250.0,Points,2500000,3.2120%
Daily Crate - Tier 11,250.0,Points,5000000,2.5000%
Daily Crate - Tier 11,250.0,Points,10000000,1.1500%
Daily Crate - Tier 11,250.0,Points,25000000,0.6250%
Daily Crate - Tier 11,250.0,SOL,62.5,0.1875%
Daily Crate - Tier 11,250.0,SOL,250,0.0575%
Daily Crate - Tier 11,250.0,SOL,1250,0.0145%
Daily Crate - Tier 11,250.0,SOL,5000,0.0005%
Daily Crate - Tier 12,500.0,Points,250000,48.1800%
Daily Crate - Tier 12,500.0,Points,1000000,30.0980%
Daily Crate - Tier 12,500.0,Points,2500000,9.3750%
Daily Crate - Tier 12,500.0,Points,4000000,4.6000%
Daily Crate - Tier 12,500.0,Points,5000000,3.2120%
Daily Crate - Tier 12,500.0,Points,10000000,2.5000%
Daily Crate - Tier 12,500.0,Points,20000000,1.1500%
Daily Crate - Tier 12,500.0,Points,50000000,0.6250%
Daily Crate - Tier 12,500.0,SOL,125,0.1875%
Daily Crate - Tier 12,500.0,SOL,500,0.0575%
Daily Crate - Tier 12,500.0,SOL,2500,0.0145%
Daily Crate - Tier 12,500.0,SOL,10000,0.0005%
Daily Crate - Tier 13,1000.0,Points,500000,48.1800%
Daily Crate - Tier 13,1000.0,Points,2000000,30.0980%
Daily Crate - Tier 13,1000.0,Points,5000000,9.3750%
Daily Crate - Tier 13,1000.0,Points,8000000,4.6000%
Daily Crate - Tier 13,1000.0,Points,10000000,3.2120%
Daily Crate - Tier 13,1000.0,Points,20000000,2.5000%
Daily Crate - Tier 13,1000.0,Points,40000000,1.1500%
Daily Crate - Tier 13,1000.0,Points,100000000,0.6250%
Daily Crate - Tier 13,1000.0,SOL,250,0.1875%
Daily Crate - Tier 13,1000.0,SOL,1000,0.0575%
Daily Crate - Tier 13,1000.0,SOL,5000,0.0145%
Daily Crate - Tier 13,1000.0,SOL,20000,0.0005%
